"Table  download from NOAA Fisheries ShoreZone mapping website, Fri Aug 09 2024"
"ShoreZone Unit"

Selection Criteria:

"PHY_IDENT","HabClass","BC_CLASS","EXP_BIO","SHORETYPE","ESI","ORI","TRSH","DUGR","SPZO","BLLI","WHLI","YELI","BARN","BLMU","GRAL","BRAL","SURF","EELG","SOBK","ROCK","DRKE","BUKE","CMECS_1","CMECS_2","LENGTH_M","Slope_calc","SHORE_PROB","LOST_SHORE","Wave_Dissipation","Orient_dir","Tidal_height","CVI_Rank"
"04/01/0077/E","40","2","SP","2","8D","4","","","","N","","","C","","C","","","","C","C","","","S1.1","S1.2.1.1","95.439","44","","","Surging","SW","5.8","Low"
"04/01/0078/A","51","5","P","5","6B","4","","","","N","","","C","","C","","","","","C","","","S1.2.1.1","","70.259","30","","","Plunging","SW","5.8","Low"
"04/01/0078/B","51","3","P","3","8A","5","","","","N","","","C","","C","","","","C","","","","S1.1","S1.2.1.2.1","77.185","24","","","Plunging","SW","5.8","Low"
"04/01/0078/C","51","6","P","6","9A","5","","","","N","","","P","P","C","","","","","C","","","S1.2.1.2.1","","303.492","4","","","Spilling","W","5.8","Low"
"04/01/0078/D","51","10","P","10","10A","5","","C","","","","","","","C","","","","","C","","","S1.2","S2.3","184.046","6","","","Spilling","W","5.8","Low"
"04/01/0079/A","50","1","P","1","8A","3","","","","M","","","C","","P","","","P","C","C","","","S1.1","","47.341","30","","","Plunging","W","5.8","Low"
"04/01/0080/A","40","2","SP","2","8D","4","","","","M","","","C","","C","","","","C","C","","","S1.1","S1.2.1.1","245.066","33","","","Plunging","W","5.8","Low"
"04/01/0080/B","40","5","SP","5","6B","4","","","N","N","","","C","","C","","","","C","C","","","S1.2.1.1","","126.738","24","","","Plunging","SW","5.8","Low"
"04/01/0081/A","50","6","P","6","6B","5","","","N","N","","","C","","P","","","","C","C","","","S1.2.1.2.1","","132.956","15","","","Plunging","S","5.8","Low"
"04/01/0081/B","50","5","P","5","6B","4","","","","N","","","C","","C","","","","C","C","","","S1.2.1.1","","80.961","21","","","Plunging","S","5.8","Low"
"04/01/0081/C","50","6","P","6","6B","5","","","N","N","","","C","","P","","","P","C","C","","","S1.2.1.2.1","","280.981","18","","","Plunging","SW","5.8","Low"
"04/01/0082/A","51","6","P","6","5","5","","","","","","","","","","","","","","","","","S1.2.1.2.1","","291.797","9","","","Plunging","NW","5.8","Low"
"04/01/0082/B","51","3","P","3","8D","5","","","","N","","","P","","C","","","C","C","C","","","S1.1","S1.2.1.2.1","87.052","5","","","Spilling","NW","5.8","Low"
"04/01/0082/C","51","6","P","6","5","5","","","N","","","","P","","C","","","C","C","P","","","S1.2.1.2.1","","135.644","15","","","Plunging","N","5.8","Low"
"04/01/0082/D","51","3","P","3","8A","5","","","","N","","","","","C","","","P","C","C","","","S1.1","S1.2.1.2.1","29.132","6","","","Spilling","N","5.8","Low"
"04/01/0082/E","51","6","P","6","6B","5","","","N","","","","P","","C","","","C","C","C","","","S1.2.1.2.1","","99.227","26","","","Plunging","NW","5.8","Low"
"04/01/0082/F","51","6","P","6","6B","5","","","","N","","","P","C","C","","","","C","C","","","S1.2.1.2.1","","110.791","9","","","Plunging","NW","5.8","Low"
"04/01/0082/G","51","3","P","3","8D","5","","","","N","","","C","","C","","","","C","C","","","S1.1","S1.2.1.2.1","153.469","11","","","Plunging","W","5.8","Low"
"04/01/0082/H","51","2","P","2","8D","4","","","","M","","","C","P","C","","","","C","C","","","S1.1","S1.2.1.1","86.619","21","","","Plunging","SW","5.8","Low"
